month,borough,day_type,trip_type,route_id,actual_number_of_buses,scheduled_number_of_buses,service_delivered
2015-02,Manhattan,1,LCL/LTD,M14D,1367,1444,0.9466759
2015-02,Manhattan,1,LCL/LTD,M15,602,665,0.905263158
2015-02,Manhattan,1,LCL/LTD,M2,653,718,0.909470752
2015-02,Manhattan,1,LCL/LTD,M20,328,361,0.908587258
2015-02,Manhattan,1,LCL/LTD,M21,324,342,0.947368421
2015-02,Manhattan,1,LCL/LTD,M22,528,551,0.958257713
2015-02,Manhattan,1,LCL/LTD,M23,725,779,0.930680359
2015-02,Manhattan,1,LCL/LTD,M3,492,513,0.959064327
2015-02,Manhattan,1,LCL/LTD,M31,607,665,0.912781955
2015-02,Manhattan,1,LCL/LTD,M4,865,931,0.929108485
2015-02,Manhattan,1,LCL/LTD,M42,612,665,0.920300752
2015-02,Manhattan,1,LCL/LTD,M5,671,796,0.842964824
2015-02,Manhattan,1,LCL/LTD,M50,382,380,1.005263158
2015-02,Manhattan,1,LCL/LTD,M57,619,646,0.958204334
2015-02,Manhattan,1,LCL/LTD,M66,1132,1235,0.91659919
2015-02,Manhattan,1,LCL/LTD,M7,617,666,0.926426426
2015-02,Manhattan,1,LCL/LTD,M72,581,608,0.955592105
2015-02,Manhattan,1,LCL/LTD,M79,1010,1083,0.932594645
2015-02,Manhattan,1,LCL/LTD,M8,400,418,0.956937799
2015-02,Manhattan,1,LCL/LTD,M86,1243,1368,0.908625731
2015-02,Manhattan,1,LCL/LTD,M9,514,570,0.901754386
2015-02,Manhattan,1,LCL/LTD,M96,1465,1520,0.963815789
2015-02,Manhattan,1,LCL/LTD,M98,424,456,0.929824561
2015-02,Manhattan,2,LCL/LTD,M1,148,162,0.913580247
2015-02,Manhattan,2,LCL/LTD,M10,183,196,0.933673469
2015-02,Manhattan,2,LCL/LTD,M100,166,196,0.846938776
2015-02,Manhattan,2,LCL/LTD,M101,216,263,0.821292776
2015-02,Manhattan,2,LCL/LTD,M102,151,197,0.766497462
2015-02,Manhattan,2,LCL/LTD,M103,164,210,0.780952381
2015-02,Manhattan,2,LCL/LTD,M104,351,370,0.948648649
2015-02,Manhattan,2,LCL/LTD,M106,57,59,0.966101695
2015-02,Manhattan,2,LCL/LTD,M11,153,191,0.80104712
2015-02,Manhattan,2,LCL/LTD,M116,201,213,0.943661972
2015-02,Manhattan,2,LCL/LTD,M12,77,88,0.875
2015-02,Manhattan,2,LCL/LTD,M14A,179,205,0.873170732
2015-02,Manhattan,2,LCL/LTD,M14D,289,340,0.85
2015-02,Manhattan,2,LCL/LTD,M15,200,247,0.809716599
2015-02,Manhattan,2,LCL/LTD,M2,191,239,0.79916318
2015-02,Manhattan,2,LCL/LTD,M20,130,143,0.909090909
2015-02,Manhattan,2,LCL/LTD,M21,80,90,0.888888889
2015-02,Manhattan,2,LCL/LTD,M22,128,146,0.876712329
2015-02,Manhattan,2,LCL/LTD,M23,186,199,0.934673367
2015-02,Manhattan,2,LCL/LTD,M3,182,213,0.854460094
2015-02,Manhattan,2,LCL/LTD,M31,162,182,0.89010989
2015-02,Manhattan,2,LCL/LTD,M4,196,217,0.903225806
2015-02,Manhattan,2,LCL/LTD,M42,53,60,0.883333333
2015-02,Manhattan,2,LCL/LTD,M5,141,164,0.859756098
2015-02,Manhattan,2,LCL/LTD,M50,84,90,0.933333333
2015-02,Manhattan,2,LCL/LTD,M57,159,176,0.903409091
2015-02,Manhattan,2,LCL/LTD,M66,214,223,0.959641256
2015-02,Manhattan,2,LCL/LTD,M7,245,282,0.868794326
2015-02,Manhattan,2,LCL/LTD,M72,153,160,0.95625
2015-02,Manhattan,2,LCL/LTD,M79,250,273,0.915750916
2015-02,Manhattan,2,LCL/LTD,M8,74,79,0.936708861
2015-02,Manhattan,2,LCL/LTD,M86,308,346,0.89017341
2015-02,Manhattan,2,LCL/LTD,M9,102,124,0.822580645
2015-02,Manhattan,2,LCL/LTD,M96,249,283,0.879858657
2015-02,Manhattan,1,SBS,M34,571,608,0.939144737
2015-02,Manhattan,1,SBS,M34A,557,608,0.916118421
2015-02,Manhattan,1,SBS,SBS15,596,665,0.896240602
2015-02,Manhattan,1,SBS,SBS60,630,722,0.872576177
2015-02,Manhattan,2,SBS,M34,88,124,0.709677419
2015-02,Manhattan,2,SBS,M34A,92,121,0.760330579
2015-02,Manhattan,2,SBS,SBS15,29,41,0.707317073
2015-02,Manhattan,2,SBS,SBS60,185,272,0.680147059
2015-02,Queens,1,EXP,QM1,401,437,0.917620137
2015-02,Queens,1,EXP,QM10,320,340,0.941176471
2015-02,Queens,1,EXP,QM11,312,323,0.965944272
2015-02,Queens,1,EXP,QM12,354,372,0.951612903
